iter	Passed	Remaining
0	1	1847
1	3	1774
2	5	1783
3	7	1768
4	8	1713
5	12	2019
6	13	1954
7	15	1905
8	16	1859
9	18	1864
10	20	1843
11	22	1819
12	23	1811
13	27	1938
14	33	2167
15	34	2119
16	35	2075
17	37	2036
18	38	2001
19	40	1973
20	43	2049
21	45	2024
22	47	1996
23	48	1972
24	49	1947
25	51	1926
26	52	1904
27	54	1883
28	55	1862
29	59	1932
30	61	1914
31	62	1904
32	64	1890
33	66	1876
34	67	1859
35	69	1861
36	70	1847
37	75	1910
38	77	1899
39	78	1894
40	80	1880
41	81	1865
42	83	1854
43	84	1842
44	86	1834
45	90	1872
46	91	1860
47	93	1848
48	94	1836
49	96	1825
50	97	1815
51	99	1808
52	100	1803
53	104	1829
54	106	1821
55	107	1812
56	108	1802
57	110	1792
58	111	1782
59	113	1773
60	114	1764
61	116	1756
62	117	1751
63	120	1766
64	122	1759
65	123	1751
66	125	1742
67	126	1733
68	127	1726
69	129	1718
70	131	1720
71	136	1757
72	138	1754
73	139	1751
74	141	1745
75	143	1739
76	144	1734
77	146	1728
78	147	1721
79	151	1737
80	152	1735
81	154	1734
82	155	1720
83	157	1722
84	159	1718
85	161	1712
86	162	1706
87	166	1724
88	167	1719
89	169	1712
90	170	1706
91	172	1701
92	173	1695
93	175	1688
94	176	1683
95	178	1677
96	181	1693
97	183	1686
98	184	1680
99	186	1677
100	187	1672
101	189	1667
102	190	1662
103	192	1657
104	193	1652
105	197	1662
106	198	1656
107	199	1650
108	201	1646
109	202	1641
110	204	1636
111	205	1630
112	207	1626
113	208	1621
114	212	1633
115	213	1628
116	214	1621
117	216	1618
118	217	1613
119	219	1609
120	220	1604
121	221	1597
122	223	1593
123	227	1606
124	229	1603
125	230	1601
126	232	1595
127	233	1591
128	235	1588
129	236	1584
130	238	1581
131	239	1577
132	241	1575
133	243	1574
134	245	1573
135	247	1571
136	250	1576
137	252	1575
138	257	1592
139	259	1593
140	261	1595
141	262	1588
142	266	1594
143	268	1593
144	275	1624
145	277	1621
146	278	1617
147	280	1614
148	282	1613
149	287	1627
150	289	1626
151	290	1621
152	292	1617
153	293	1613
154	295	1608
155	296	1605
156	298	1601
157	299	1597
158	303	1604
159	304	1600
